Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MIG,1100,0,0.00,0,0.00,24.89,700,400
HEGD,1099,0,0.00,0,0.00,19.14,1099,0
NULC,1094,0,0.00,0,0.00,43.70,1094,0
BUFT,1075,0,0.00,0,0.00,20.05,1075,0
MEAR,1053,0,0.00,0,0.00,50.14,1053,0
FFHG,1047,0,0.00,0,0.00,37.47,1047,0
IEFN,1027,0,0.00,0,0.00,34.18,1027,0
CBTG,1013,0,0.00,0,0.00,21.05,1013,0
XDQQ,1000,0,0.00,0,0.00,29.95,1000,0
ACIO,991,0,0.00,0,0.00,31.73,991,0
FMIL,964,0,0.00,0,0.00,30.09,964,0
FDEM,933,0,0.00,0,0.00,25.82,933,0
FOCT,919,0,0.00,0,0.00,35.18,919,0
LEAD,919,0,0.00,0,0.00,57.98,919,0
UJAN,919,0,0.00,0,0.00,31.45,919,0
TILT,917,0,0.00,0,0.00,180.89,917,0
UJUL,900,0,0.00,0,0.00,27.45,700,200
DBOC,878,0,0.00,0,0.00,29.92,378,500
IVAL,858,0,0.00,0,0.00,27.26,858,0
IGRO,852,0,0.00,0,0.00,67.76,852,0
ESG,839,0,0.00,0,0.00,113.43,839,0
FDEC,834,0,0.00,0,0.00,34.11,834,0
PFEB,820,0,0.00,0,0.00,29.03,820,0
TTAC,818,0,0.00,0,0.00,58.06,818,0
BDEC,813,0,0.00,0,0.00,34.03,813,0
GSUS,809,0,0.00,0,0.00,64.43,809,0
PSMB,803,0,0.00,0,0.00,17.06,803,0
FMAY,800,0,0.00,0,0.00,37.76,800,0
VFLQ,798,0,0.00,0,0.00,116.81,798,0
PSFF,786,0,0.00,0,0.00,22.62,786,0
XVV,786,0,0.00,0,0.00,35.64,786,0
ESGG,779,0,0.00,0,0.00,150.00,779,0
PBND,758,0,0.00,0,0.00,25.76,758,0
PWS,756,0,0.00,0,0.00,34.36,756,0
SATO,731,0,0.00,0,0.00,31.00,568,163
QMAR,727,0,0.00,0,0.00,22.47,427,300
JPIB,718,0,0.00,0,0.00,50.70,718,0
UMAY,717,0,0.00,0,0.00,28.60,717,0
QMOM,716,0,0.00,0,0.00,53.66,716,0
WUGI,713,0,0.00,0,0.00,64.27,713,0
DDWM,711,0,0.00,0,0.00,30.79,711,0
DMAR,700,0,0.00,0,0.00,31.63,200,500
IYLD,695,0,0.00,0,0.00,24.05,695,0
TRTY,694,0,0.00,0,0.00,28.22,694,0
ENOR,670,0,0.00,0,0.00,30.83,670,0
BAPR,657,0,0.00,0,0.00,32.88,557,100
GAA,656,0,0.00,0,0.00,31.98,656,0
IBMM,641,0,0.00,0,0.00,26.85,641,0
GMOM,622,0,0.00,0,0.00,30.89,622,0
TDV,612,0,0.00,0,0.00,63.28,612,0
DFND,605,0,0.00,0,0.00,40.50,605,0
MBBB,600,0,0.00,0,0.00,25.00,600,0
IBHC,595,0,0.00,0,0.00,24.57,595,0
MPRO,590,0,0.00,0,0.00,27.24,590,0
DUSA,585,0,0.00,0,0.00,35.20,585,0
DFHY,576,0,0.00,0,0.00,24.71,576,0
LUXE,567,0,0.00,0,0.00,31.84,567,0
BSEP,555,0,0.00,0,0.00,32.85,461,94
IECS,553,0,0.00,0,0.00,32.86,553,0
IBHE,534,0,0.00,0,0.00,24.83,534,0
IYJ,527,0,0.00,0,0.00,111.59,527,0
VCEB,527,0,0.00,0,0.00,73.92,339,188
EFAD,512,0,0.00,0,0.00,47.68,512,0
DSOC,511,0,0.00,0,0.00,32.81,511,0
IDHD,507,0,0.00,0,0.00,27.08,507,0
DJUL,500,0,0.00,0,0.00,33.36,500,0
DJUN,500,0,0.00,0,0.00,34.21,500,0
FJUL,500,0,0.00,0,0.00,36.05,500,0
NOCT,500,0,0.00,0,0.00,40.18,500,0
UAPR,500,0,0.00,0,0.00,26.17,500,0
AESR,494,0,0.00,0,0.00,14.65,121,373
FFTG,493,0,0.00,0,0.00,30.66,493,0
BJUL,467,0,0.00,0,0.00,32.90,467,0
VFMV,462,0,0.00,0,0.00,102.30,462,0
DUDE,451,0,0.00,0,0.00,29.35,451,0
FLV,439,0,0.00,0,0.00,61.98,439,0
BBSA,417,0,0.00,0,0.00,51.25,417,0
PBUS,410,0,0.00,0,0.00,47.18,410,0
UFEB,404,0,0.00,0,0.00,27.84,404,0
IBHF,403,0,0.00,0,0.00,25.28,403,0
IDME,401,0,0.00,0,0.00,25.07,401,0
PBDM,401,0,0.00,0,0.00,29.81,401,0
UJUN,400,0,0.00,0,0.00,29.28,400,0
XDSQ,400,0,0.00,0,0.00,28.41,400,0
IVLC,385,0,0.00,0,0.00,14.82,385,0
DAUG,353,0,0.00,0,0.00,34.99,353,0
QLC,352,0,0.00,0,0.00,50.42,352,0
DJAN,351,0,0.00,0,0.00,32.12,351,0
FNOV,350,0,0.00,0,0.00,38.55,350,0
FFSG,346,0,0.00,0,0.00,37.46,346,0
HELX,345,0,0.00,0,0.00,53.89,345,0
GVAL,336,0,0.00,0,0.00,24.12,336,0
LKOR,331,0,0.00,0,0.00,60.60,331,0
VAMO,330,0,0.00,0,0.00,25.75,330,0
ROMO,328,0,0.00,0,0.00,29.59,328,0
FFTI,321,0,0.00,0,0.00,24.02,321,0
FDEV,318,0,0.00,0,0.00,29.91,318,0
IQM,318,0,0.00,0,0.00,55.40,318,0
FSMO,317,0,0.00,0,0.00,24.54,317,0
HYDB,317,0,0.00,0,0.00,51.45,317,0
BFEB,315,0,0.00,0,0.00,31.73,315,0
JMUB,315,0,0.00,0,0.00,54.66,315,0
FAPR,301,0,0.00,0,0.00,32.09,301,0
IGLD,301,0,0.00,0,0.00,19.94,201,100
XBAP,301,0,0.00,0,0.00,27.14,301,0
DAPR,300,0,0.00,0,0.00,31.29,300,0
FUT,300,0,0.00,0,0.00,41.01,300,0
KWT,300,0,0.00,0,0.00,35.89,300,0
UAUG,300,0,0.00,0,0.00,29.04,300,0
AGT,298,0,0.00,0,0.00,28.49,298,0
HYHG,296,0,0.00,0,0.00,62.61,296,0
ISVL,296,0,0.00,0,0.00,37.16,296,0
PSMC,290,0,0.00,0,0.00,13.92,290,0
XTOC,289,0,0.00,0,0.00,25.41,289,0
ADFI,272,0,0.00,0,0.00,9.68,272,0
FJUN,254,0,0.00,0,0.00,37.45,254,0
EFNL,244,0,0.00,0,0.00,48.14,244,0
TTAI,240,0,0.00,0,0.00,37.05,240,0
PSMG,233,0,0.00,0,0.00,18.99,133,100
MOTI,209,0,0.00,0,0.00,34.20,209,0
XBOC,201,0,0.00,0,0.00,24.95,201,0
BMAY,200,0,0.00,0,0.00,32.68,200,0
JULZ,200,0,0.00,0,0.00,34.36,200,0
PLTL,200,0,0.00,0,0.00,26.49,200,0
MFMS,189,0,0.00,0,0.00,40.02,140,49
FRDM,185,0,0.00,0,0.00,33.05,185,0
MDEV,180,0,0.00,0,0.00,26.62,180,0
EUDV,172,0,0.00,0,0.00,54.81,172,0
GCOW,172,0,0.00,0,0.00,30.30,172,0
IVRA,166,0,0.00,0,0.00,15.00,166,0
FSEP,160,0,0.00,0,0.00,35.45,160,0
GHYG,160,0,0.00,0,0.00,49.49,160,0
XDJL,150,0,0.00,0,0.00,27.26,150,0
FEDX,137,0,0.00,0,0.00,28.78,137,0
FLQS,127,0,0.00,0,0.00,40.25,127,0
ALTS,125,0,0.00,0,0.00,39.29,125,0
OEUR,111,0,0.00,0,0.00,28.93,111,0
WIL,109,0,0.00,0,0.00,105.23,2,107
GLDB,105,0,0.00,0,0.00,23.95,105,0
BOCT,102,0,0.00,0,0.00,34.10,102,0
SPMV,102,0,0.00,0,0.00,39.33,102,0
UDEC,101,0,0.00,0,0.00,29.81,101,0
NJUL,100,0,0.00,0,0.00,47.74,100,0
PSMO,100,0,0.00,0,0.00,21.01,100,0
STOT,100,0,0.00,0,0.00,49.34,100,0
XJUN,100,0,0.00,0,0.00,30.40,100,0
XTAP,100,0,0.00,0,0.00,28.38,100,0
ZECP,100,0,0.00,0,0.00,25.72,100,0
EAOK,90,0,0.00,0,0.00,28.02,90,0
IBMO,90,0,0.00,0,0.00,26.83,90,0
IBMP,89,0,0.00,0,0.00,26.92,89,0
BUFG,86,0,0.00,0,0.00,20.12,86,0
ALFA,83,0,0.00,0,0.00,88.22,83,0
SFIG,68,0,0.00,0,0.00,51.02,68,0
VIRS,68,0,0.00,0,0.00,34.82,68,0
FLHY,65,0,0.00,0,0.00,26.25,65,0
BGLD,64,0,0.00,0,0.00,18.88,64,0
FLQM,64,0,0.00,0,0.00,46.71,64,0
EAOR,63,0,0.00,0,0.00,31.83,63,0
MRSK,61,0,0.00,0,0.00,33.05,61,0
YSEP,55,0,0.00,0,0.00,20.19,55,0
AVDG,53,0,0.00,0,0.00,31.84,53,0
APXH,52,0,0.00,0,0.00,9.94,52,0
DURA,51,0,0.00,0,0.00,31.40,51,0
EWGS,48,0,0.00,0,0.00,83.76,48,0
FOMO,41,0,0.00,0,0.00,25.72,41,0
IMOM,41,0,0.00,0,0.00,35.32,41,0
PLRG,40,0,0.00,0,0.00,28.10,40,0
CSM,35,0,0.00,0,0.00,107.20,35,0
MAGA,30,0,0.00,0,0.00,38.75,30,0
STLG,29,0,0.00,0,0.00,39.14,29,0
JANZ,28,0,0.00,0,0.00,29.69,28,0
XDAP,28,0,0.00,0,0.00,28.39,28,0
VMOT,27,0,0.00,0,0.00,27.95,27,0
TBJL,26,0,0.00,0,0.00,24.32,26,0
ACSI,24,0,0.00,0,0.00,52.30,24,0
VWID,22,0,0.00,0,0.00,28.92,22,0
IBHB,20,0,0.00,0,0.00,24.18,20,0
EUCG,18,0,0.00,0,0.00,27.44,18,0
BALT,17,0,0.00,0,0.00,25.85,17,0
FLBL,17,0,0.00,0,0.00,25.00,17,0
PEX,16,0,0.00,0,0.00,37.95,16,0
ESHY,12,0,0.00,0,0.00,20.98,12,0
TEGS,12,0,0.00,0,0.00,30.54,12,0
ICOW,11,0,0.00,0,0.00,31.27,11,0
BAUG,10,0,0.00,0,0.00,32.82,10,0
DECZ,10,0,0.00,0,0.00,30.06,10,0
EMDV,9,0,0.00,0,0.00,57.22,9,0
HYMU,9,0,0.00,0,0.00,26.02,9,0
XDAT,9,0,0.00,0,0.00,29.63,9,0
FLIA,6,0,0.00,0,0.00,25.06,6,0
IAUF,6,0,0.00,0,0.00,54.70,6,0
SLT,6,0,0.00,0,0.00,44.42,6,0
SHAG,5,0,0.00,0,0.00,50.76,5,0
EOPS,4,0,0.00,0,0.00,26.79,4,0
JUNZ,4,0,0.00,0,0.00,26.84,4,0
SMI,4,0,0.00,0,0.00,49.64,4,0
YJUN,3,0,0.00,0,0.00,20.46,3,0
GOVZ,2,0,0.00,0,0.00,21.87,2,0
IMFL,2,0,0.00,0,0.00,26.72,2,0
OBND,2,0,0.00,0,0.00,29.89,2,0
WDNA,2,0,0.00,0,0.00,26.05,2,0
BLDG,1,0,0.00,0,0.00,32.57,1,0
IBMQ,1,0,0.00,0,0.00,27.05,1,0
KNGS,1,0,0.00,0,0.00,28.72,1,0
MAAX,1,0,0.00,0,0.00,24.58,1,0
PSMJ,1,0,0.00,0,0.00,21.09,1,0
REC,1,0,0.00,0,0.00,24.69,1,0
RTAI,1,0,0.00,0,0.00,27.59,1,0
TCTL,1,0,0.00,0,0.00,34.15,1,0
TSOC,1,0,0.00,0,0.00,32.00,1,0
WFIG,1,0,0.00,0,0.00,54.06,1,0
AMER,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DBJA,0,0,0.00,0,0.00,0.00,0,0
DMAY,0,0,0.00,0,0.00,0.00,0,0
DSJA,0,0,0.00,0,0.00,0.00,0,0
EMSH,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
EURZ,0,0,0.00,0,0.00,0.00,0,0
FAIL,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FMAR,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
HEET,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
IBHA,0,0,0.00,0,0.00,0.00,0,0
IBHG,0,0,0.00,0,0.00,0.00,0,0
IMLP,0,0,0.00,0,0.00,0.00,0,0
KJUL,0,0,0.00,0,0.00,0.00,0,0
LIV,0,0,0.00,0,0.00,0.00,0,0
LSLT,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBND,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
NAPR,0,0,0.00,0,0.00,0.00,0,0
NUDV,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBEE,0,0,0.00,0,0.00,0.00,0,0
PBTP,0,0,0.00,0,0.00,0.00,0,0
POCT,0,0,0.00,0,0.00,0.00,0,0
PSCJ,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSFJ,0,0,0.00,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
PSMR,0,0,0.00,0,0.00,0.00,0,0
PXUS,0,0,0.00,0,0.00,0.00,0,0
QCON,0,0,0.00,0,0.00,0.00,0,0
QJUN,0,0,0.00,0,0.00,0.00,0,0
QPFF,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
QTJL,0,0,0.00,0,0.00,0.00,0,0
RDFI,0,0,0.00,0,0.00,0.00,0,0
RESD,0,0,0.00,0,0.00,0.00,0,0
RESE,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
TFJL,0,0,0.00,0,0.00,0.00,0,0
TYA,0,0,0.00,0,0.00,0.00,0,0
UMAR,0,0,0.00,0,0.00,0.00,0,0
UOCT,0,0,0.00,0,0.00,0.00,0,0
USEP,0,0,0.00,0,0.00,0.00,0,0
USEQ,0,0,0.00,0,0.00,0.00,0,0
USMF,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XBJL,0,0,0.00,0,0.00,0.00,0,0
XDOC,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
YDEC,0,0,0.00,0,0.00,0.00,0,0
YMAR,0,0,0.00,0,0.00,0.00,0,0